emp_id,gender,age,dept,tenure_months,performance,engagement,learning_speed,current_stage
E0000,Male,50,HR,72,0.45,0.664,0.611,Engagement
E0001,Male,23,Finance,30,0.832,0.484,0.434,Learning_Development
E0002,Female,43,Operations,108,0.654,0.514,0.433,Engagement
E0003,Male,24,Operations,51,0.629,0.495,0.971,Performance_Management
E0004,Female,35,Sales,9,0.79,0.38,0.799,Engagement
E0005,Male,38,Finance,50,0.717,0.347,0.79,Engagement
E0006,Female,25,Marketing,93,0.783,0.634,0.525,Learning_Development
E0007,Male,45,Sales,89,0.596,0.669,0.162,Learning_Development
E0008,Male,22,Engineering,71,0.312,0.327,0.69,Learning_Development
E0009,Female,26,Sales,103,0.487,0.732,0.603,Learning_Development
E0010,Female,55,Engineering,48,0.914,0.375,0.759,Engagement
E0011,Male,56,Engineering,99,0.961,0.672,0.408,Performance_Management
E0012,Female,47,Marketing,103,0.623,0.407,0.583,Learning_Development
E0013,Male,53,Finance,94,0.63,0.66,0.324,Engagement
E0014,Female,57,Operations,32,0.942,0.765,0.614,Performance_Management
E0015,Male,27,Finance,28,0.811,0.517,0.242,Performance_Management
E0016,Female,49,Engineering,103,0.604,0.692,0.253,Performance_Management
E0017,Female,30,Marketing,37,0.467,0.381,0.751,Engagement
E0018,Male,53,Engineering,52,0.696,0.585,0.128,Learning_Development
E0019,Other,23,Sales,92,0.645,0.562,0.616,Performance_Management
E0020,Female,47,Marketing,32,0.513,0.634,0.259,Performance_Management
E0021,Male,55,Marketing,86,0.53,0.424,0.567,Learning_Development
E0022,Male,27,Operations,3,0.957,0.775,0.552,Onboarding
E0023,Male,53,Finance,105,0.584,0.416,0.891,Performance_Management
E0024,Female,32,Finance,57,0.586,0.711,0.78,Learning_Development
E0025,Female,23,Engineering,48,0.745,0.613,0.66,Engagement
E0026,Male,56,HR,48,0.67,0.621,0.753,Engagement
E0027,Female,57,Marketing,104,0.609,0.659,0.393,Learning_Development
E0028,Male,39,Sales,54,0.677,0.597,0.257,Engagement
E0029,Female,54,Finance,59,0.645,0.326,0.38,Engagement
E0030,Male,29,HR,27,0.652,0.891,0.492,Learning_Development
E0031,Male,40,Finance,35,1.0,0.598,0.592,Performance_Management
E0032,Female,56,Finance,105,0.627,0.668,1.0,Learning_Development
E0033,Male,42,Engineering,67,0.928,0.643,0.276,Engagement
E0034,Female,24,Marketing,24,0.764,0.384,0.263,Engagement
E0035,Male,47,Engineering,104,0.515,0.817,0.782,Engagement
E0036,Male,47,HR,50,0.743,1.0,0.676,Performance_Management
E0037,Female,33,HR,87,0.854,0.614,0.46,Engagement
E0038,Female,46,Sales,63,0.576,0.719,0.112,Learning_Development
E0039,Male,26,Finance,6,0.727,0.609,0.407,Engagement
E0040,Female,37,Operations,114,0.285,0.637,0.404,Learning_Development
E0041,Male,47,Operations,90,0.803,0.446,0.915,Performance_Management
E0042,Female,55,Marketing,118,0.82,0.853,0.633,Performance_Management
E0043,Female,24,Finance,26,0.947,0.853,0.394,Performance_Management
E0044,Male,35,Finance,69,0.599,0.479,0.429,Performance_Management
E0045,Male,44,Sales,10,0.847,0.6,0.716,Learning_Development
E0046,Female,37,Sales,113,0.712,0.785,0.684,Engagement
E0047,Female,54,Operations,51,0.836,0.689,0.8,Performance_Management
E0048,Female,31,HR,44,0.491,0.46,0.458,Performance_Management
E0049,Female,38,Sales,8,0.63,0.911,0.334,Performance_Management
E0050,Female,28,Finance,58,0.821,0.891,0.63,Performance_Management
E0051,Female,57,Sales,101,0.755,0.749,0.684,Performance_Management
E0052,Other,57,Sales,113,0.53,0.832,0.892,Learning_Development
E0053,Male,51,Engineering,113,0.571,0.861,0.555,Performance_Management
E0054,Male,40,Engineering,100,0.601,0.477,0.971,Learning_Development
E0055,Male,33,Engineering,52,0.842,0.832,0.724,Performance_Management
E0056,Female,35,Sales,5,0.708,0.935,0.746,Onboarding
E0057,Female,28,Marketing,13,0.739,0.499,0.252,Engagement
E0058,Female,26,Operations,37,0.73,0.308,0.614,Engagement
E0059,Female,57,Marketing,31,0.616,0.132,0.473,Engagement
E0060,Female,31,Sales,19,0.647,0.399,0.546,Engagement
E0061,Male,49,Operations,105,0.598,0.768,0.799,Performance_Management
E0062,Male,46,Engineering,38,0.895,0.543,0.56,Engagement
E0063,Female,42,HR,101,0.72,0.769,0.315,Learning_Development
E0064,Female,35,Engineering,117,0.488,0.905,0.631,Performance_Management
